month,day,hour,value
1,21,2200,-5.2
1,21,2300,-5.7
1,22,0,-4.8
1,22,100,-5.6
1,22,200,-4.8
1,22,300,-4.8
1,22,400,-4
1,22,500,-4.6
1,22,600,-4.6
1,22,700,-6.1
1,22,800,-7
1,22,900,-7.4
1,22,1000,-8.1
1,22,1100,-8.3
1,22,1200,-8.6
1,22,1300,-9.8
1,22,1400,-10.4
1,22,1500,-10.8
1,22,1600,-11
1,22,1700,-11.5
1,22,1800,-11.6
1,22,1900,-11.6
1,22,2000,-11.8
1,22,2100,-12
1,22,2200,-11.9
1,22,2300,-10.8
1,23,0,-10.1
1,23,100,-9
1,23,200,-8
1,23,300,-6.8
1,23,400,-7.9
1,23,500,-7.4
1,23,600,-6.8
1,23,700,-7.8
1,23,800,-8.3
1,23,900,-9.1
1,23,1000,-8.9
1,23,1100,-9.2
1,23,1200,-10.3
1,23,1300,-10.8
1,23,1400,-11.3
1,23,1500,-11.2
1,23,1600,-10.8
1,23,1700,-10.4
1,23,1800,-10.4
1,23,1900,-10.1
1,23,2000,-9.3
1,23,2100,-9.4
1,23,2200,-8.9
1,23,2300,-7.6
1,24,0,-6.4
1,24,100,-5.6
1,24,200,-5.2
1,24,300,-4.8
1,24,400,-5.1
1,24,500,-3.8
1,24,600,-3.5
1,24,700,-4.7
1,24,800,-5
1,24,900,-5.4
1,24,1000,-5.8
1,24,1100,-5.9
1,24,1200,-6.4
1,24,1300,-6.6
1,24,1400,-7.3
1,24,1500,-7.4
1,24,1600,-7.2
1,24,1700,-7.5
1,24,1800,-7.6
1,24,1900,-8.1
1,24,2000,-8.3
1,24,2100,-8.4
1,24,2200,-8.1
1,24,2300,-6.1
1,25,0,-5.4
1,25,100,-3.9
1,25,200,-2.9
1,25,300,-2
1,25,400,-0.9
1,25,500,0
1,25,600,0
1,25,700,-1.2
1,25,800,-2.4
1,25,900,-2.9
1,25,1000,-3
1,25,1100,-3
1,25,1200,-3.2
1,25,1300,-3.9
1,25,1400,-4.4
1,25,1500,-4.9
1,25,1600,-5
1,25,1700,-5.3
1,25,1800,-5.3
1,25,1900,-5.5
1,25,2000,-5.6
1,25,2100,-5.8
1,25,2200,-5.1
1,25,2300,-4.3
1,26,0,-2.6
1,26,100,-0.7
1,26,200,0.5
1,26,300,1.6
1,26,400,2.2
